"filename", "language", "JavaScript", "Python", "HTML", "comment", "blank", "total"
"/Users/tobiastrentzsch/Desktop/Beuth Medieninformatik/Formales/Bachelorarbeit/DORA-Metrik/DORA-Metrics/add_metric.py", "Python", 0, 38, 0, 2, 9, 49
"/Users/tobiastrentzsch/Desktop/Beuth Medieninformatik/Formales/Bachelorarbeit/DORA-Metrik/DORA-Metrics/add_project.py", "Python", 0, 16, 0, 0, 5, 21
"/Users/tobiastrentzsch/Desktop/Beuth Medieninformatik/Formales/Bachelorarbeit/DORA-Metrik/DORA-Metrics/delete_db.py", "Python", 0, 6, 0, 0, 1, 7
"/Users/tobiastrentzsch/Desktop/Beuth Medieninformatik/Formales/Bachelorarbeit/DORA-Metrik/DORA-Metrics/main.py", "Python", 0, 75, 0, 13, 27, 115
"/Users/tobiastrentzsch/Desktop/Beuth Medieninformatik/Formales/Bachelorarbeit/DORA-Metrik/DORA-Metrics/migrations/versions/22a4b5ae535a_.py", "Python", 0, 14, 0, 12, 9, 35
"/Users/tobiastrentzsch/Desktop/Beuth Medieninformatik/Formales/Bachelorarbeit/DORA-Metrik/DORA-Metrics/migrations/versions/49810ee574e0_.py", "Python", 0, 20, 0, 12, 7, 39
"/Users/tobiastrentzsch/Desktop/Beuth Medieninformatik/Formales/Bachelorarbeit/DORA-Metrik/DORA-Metrics/migrations/versions/d31aa6b7a6aa_.py", "Python", 0, 32, 0, 12, 9, 53
"/Users/tobiastrentzsch/Desktop/Beuth Medieninformatik/Formales/Bachelorarbeit/DORA-Metrik/DORA-Metrics/static/js/main.js", "JavaScript", 18, 0, 0, 12, 4, 34
"/Users/tobiastrentzsch/Desktop/Beuth Medieninformatik/Formales/Bachelorarbeit/DORA-Metrik/DORA-Metrics/templates/index.html", "HTML", 0, 0, -61, 10, -18, -69
"Total", "-", 18, 201, -61, 73, 53, 284